event_name	diff	MostExtremeBF
gene:ENSG00000197077	0.26,0.48,-0.67,-0.07	1e+12
gene:ENSG00000186716	0.29,-0.26,-0.03	491193.19
gene:ENSG00000015475	-0.05,0.01,0.12,0.03,0.03,0.06,0.15,0.02,-0.36,-0.03,0.02	351200.77
gene:ENSG00000128272	-0.00,-0.05,0.05	279.57
gene:ENSG00000100266	-0.03,-0.19,0.14,-0.12,0.05,0.08,-0.06,0.04,0.05,0.04,0.01	47.2
gene:ENSG00000189306	0.32	31.48
gene:ENSG00000100207	0.22,-0.24,-0.01,0.03	21.99
gene:ENSG00000205593	-0.42	16.12
gene:ENSG00000100083	-0.08,-0.03,-0.02,0.03,0.26,-0.02,0.03,-0.00,-0.00,-0.02,-0.15,0.00,-0.03,0.02,0.01	13.99
gene:ENSG00000075240	0.11,0.27,-0.00,-0.47,0.08,0.01	11.47
gene:ENSG00000100380	-0.05,-0.03,0.09,-0.00,-0.01	9.93
gene:ENSG00000100239	0.03,0.24,0.03,-0.13,-0.04,-0.13,-0.00	9.13
gene:ENSG00000188130	0.44,-0.03,-0.38,-0.04	8.66
gene:ENSG00000186998	-0.42,0.05,0.12,0.06,0.10,0.06,0.04	7.69
gene:ENSG00000100109	-0.28,0.18,0.03,0.10,0.01,-0.00,-0.01,-0.03,0.02,-0.01	7.48
gene:ENSG00000249590	0.09,0.17,-0.26	6.21
gene:ENSG00000100038	-0.04,-0.03,0.12,0.04,-0.20,0.01,0.04,-0.02,0.05,0.03,0.00,-0.01,0.01,0.01	6.19
gene:ENSG00000100142	0.07,0.00,-0.01,-0.00,0.00,-0.04,-0.02,-0.03,-0.01,0.04,-0.00,-0.01	5.76
gene:ENSG00000138867	0.04,0.11,-0.08,0.11,-0.15,-0.01,-0.01,0.00	5.04
gene:ENSG00000100003	-0.04,-0.03,0.04,-0.02,-0.05,-0.11,0.26,-0.06,-0.00	4.69
gene:ENSG00000100028	0.11,-0.01,-0.10,-0.00	4.51
gene:ENSG00000100429	-0.03,-0.16,0.01,0.33,-0.09,-0.03,-0.04	4.47
gene:ENSG00000100139	-0.26,0.30,-0.03,-0.01	4.26
gene:ENSG00000100425	-0.08,-0.08,0.37,-0.18,-0.03	4.2
gene:ENSG00000215193	-0.20,-0.07,0.22,-0.00,0.05	3.72
gene:ENSG00000185721	0.17,-0.01,-0.01,-0.15	3.43
gene:ENSG00000100030	0.12,-0.10,-0.02	3.27
gene:ENSG00000242114	-0.29,0.02,0.23,0.10,-0.07	3.25
gene:ENSG00000100320	0.23,-0.04,-0.05,-0.05,-0.04,-0.01,-0.04,-0.04,0.09,0.03,-0.05,-0.02	3.2
gene:ENSG00000070413	0.14,0.10,-0.22,-0.02	2.91
gene:ENSG00000100246	-0.30	2.86
gene:ENSG00000100263	0.38,-0.34,-0.03,-0.01	2.76
gene:ENSG00000128294	0.12,0.02,-0.06,0.02,-0.04,-0.01,-0.01,-0.02,-0.02	2.71
gene:ENSG00000248405	0.23,-0.31,0.09	2.66
gene:ENSG00000133424	0.00,0.00,0.02,0.23,-0.25,0.03,-0.07,0.02,0.00,-0.00,0.02,0.01	2.54
gene:ENSG00000100258	0.26	2.44
gene:ENSG00000128346	0.27,-0.08,-0.07,-0.02,-0.06,-0.04	2.39
gene:ENSG00000093000	-0.04,0.10,0.01,0.06,0.02,-0.01,0.00,-0.17,0.00,0.03,0.01	2.39
gene:ENSG00000100296	-0.06,0.22,0.04,0.00,-0.05,-0.18,0.00,0.00,0.01,0.00,-0.01,0.02	1.89
gene:ENSG00000184164	0.01,-0.11,0.32,-0.12,-0.10	1.89
gene:ENSG00000100348	0.02,-0.16,0.15,-0.00	1.83
gene:ENSG00000179750	0.21,0.10,0.05,-0.36	1.73
gene:ENSG00000100307	-0.29,0.28,0.01	1.59
gene:ENSG00000100325	0.17,0.00,-0.01,-0.24,-0.07,-0.00,0.20,-0.05,0.00	1.58
gene:ENSG00000170638	0.01,-0.24,0.25,-0.02	1.57
gene:ENSG00000100138	-0.05,0.16,0.03,0.07,-0.01,-0.00,-0.00,-0.19,0.00,-0.01,-0.01	1.51
gene:ENSG00000169635	-0.07,0.35,-0.28	1.5
gene:ENSG00000100241	0.12,-0.10,-0.01	1.5
gene:ENSG00000099904	-0.08,-0.09,0.29,-0.12	1.49
gene:ENSG00000100335	0.00,0.18,-0.07,-0.10,0.01,-0.02	1.48
gene:ENSG00000100271	-0.12,0.34,-0.14,-0.08	1.45
gene:ENSG00000128159	-0.26,0.23,0.03,0.00	1.41
gene:ENSG00000100243	-0.03,0.22,-0.01,-0.13,0.00,-0.05	1.38
gene:ENSG00000073169	-0.38	1.38
gene:ENSG00000185022	0.21,-0.10,-0.06,-0.04,0.00,-0.08,0.07	1.33
gene:ENSG00000100036	0.19,-0.21,0.02	1.32
gene:ENSG00000183963	-0.02,-0.02,-0.01,-0.03,-0.02,0.01,-0.06,0.30,-0.01,-0.05,-0.01,-0.03,-0.00,-0.01,-0.01,-0.02	1.31
gene:ENSG00000079974	-0.01,-0.03,0.00,-0.07,-0.04,-0.03,0.22,-0.04,0.04,-0.03,-0.02	1.28
gene:ENSG00000069998	0.21,-0.28,0.08	1.24
gene:ENSG00000213923	0.19,-0.13,-0.02,-0.03,-0.02,0.01,0.03,0.01,-0.03,-0.01,-0.01	1.21
gene:ENSG00000100075	0.22	1.2
gene:ENSG00000196419	-0.10,-0.00,0.00,0.01,0.17,-0.08	1.16
gene:ENSG00000184436	-0.04	1.15
gene:ENSG00000198792	0.26,-0.09,-0.21,0.17,-0.04,-0.09	1.15
gene:ENSG00000100027	-0.06	1.14
gene:ENSG00000100219	-0.18,-0.04,0.10,0.10,0.02	1.14
gene:ENSG00000198089	0.02,0.00,-0.04,0.03,0.19,0.00,-0.24,0.07,0.02,-0.06,0.01,-0.01	1.12
gene:ENSG00000273899	0.10,0.02,-0.11	1.12
gene:ENSG00000128311	0.11,-0.02,-0.07,-0.02	1.07
gene:ENSG00000100395	-0.13,0.00,0.15,0.04,-0.07	1.06
gene:ENSG00000161179	-0.15,0.20,-0.05	1.06
gene:ENSG00000183628	0.01,0.14,-0.11,0.01,-0.01,-0.05	1.05
gene:ENSG00000054611	0.13,0.12,0.00,-0.02,0.02,-0.09,0.04,-0.22	1
gene:ENSG00000100029	0.07,-0.00,-0.10,-0.00,0.00,-0.07,0.11	1
gene:ENSG00000133460	0.12,-0.04,0.00,-0.01,0.05,-0.12,-0.05,-0.02,0.14,-0.03,-0.03	0.97
gene:ENSG00000100084	-0.13,0.21,-0.08	0.95
gene:ENSG00000099977	0.10,-0.23,0.10,0.01,0.02	0.95
gene:ENSG00000159873	-0.17,0.08,0.08,0.02,-0.01,0.01	0.94
gene:ENSG00000205643	0.19,-0.23,-0.10,0.13	0.94
gene:ENSG00000284194	0.20,-0.14,-0.03,-0.03	0.93
gene:ENSG00000128271	0.03,-0.17,0.04,0.02,0.02,-0.00,-0.22,0.03,0.07,0.08,0.06,0.03	0.91
gene:ENSG00000100359	0.13,-0.11,-0.05,0.02	0.91
gene:ENSG00000243156	-0.09,0.08,0.00,0.00,-0.00,0.01,-0.04,-0.03,0.01,0.01,0.03,0.02,-0.00	0.89
gene:ENSG00000099991	-0.07,0.16,0.00,-0.10,0.12,-0.12,0.01	0.88
gene:ENSG00000100068	-0.29	0.87
gene:ENSG00000100211	-0.12,-0.07,0.18,-0.03,0.05	0.87
gene:ENSG00000100344	0.09,-0.20,0.12	0.87
gene:ENSG00000099968	-0.04,0.01,0.00,0.01,0.00,0.05,-0.01,0.00,-0.19,0.18,-0.04,0.01,0.01	0.86
gene:ENSG00000128309	-0.06,0.03,-0.02,0.21,-0.08,-0.03,-0.06	0.86
gene:ENSG00000100294	-0.19,0.20,-0.01	0.84
gene:ENSG00000167065	0.01,-0.01,-0.11,0.03,-0.02,0.15,-0.01,-0.04,-0.00	0.83
gene:ENSG00000100372	0.11,-0.17,0.02,0.04,-0.03,0.00,0.00,0.06,0.01,-0.01,-0.00,-0.02,-0.01,0.01,0.01	0.83
gene:ENSG00000241484	0.09,-0.05,-0.02,0.08,0.06,-0.00,-0.16	0.79
gene:ENSG00000196588	0.10,-0.06,0.02,-0.00,0.13,-0.06,0.00,-0.12,-0.04,0.01	0.79
gene:ENSG00000075234	0.07,0.06,-0.02,0.00,0.04,-0.15	0.78
gene:ENSG00000100364	-0.03,-0.10,-0.02,0.16,-0.00,0.03,-0.02,-0.01,0.01,-0.01	0.77
gene:ENSG00000100354	0.09,-0.01,-0.11,0.07,-0.01,-0.04	0.76
gene:ENSG00000215012	-0.12,0.10,0.13,-0.12	0.76
gene:ENSG00000099940	-0.14	0.76
gene:ENSG00000128274	-0.04,-0.06,0.04,0.06	0.75
gene:ENSG00000167074	-0.03,0.06,-0.03	0.75
gene:ENSG00000100151	0.04,-0.09,-0.06,0.02,-0.05,0.14,0.03,-0.03	0.75
gene:ENSG00000093009	-0.03,-0.04,0.03,0.03,-0.03,0.01,0.04	0.74
gene:ENSG00000186951	0.01,-0.01,-0.02,-0.11,0.17,-0.03	0.74
gene:ENSG00000099899	0.15,-0.14,0.06,-0.06,-0.08,0.04,0.03	0.72
gene:ENSG00000093010	0.04,0.01,-0.06,-0.01,0.07,0.06,-0.14,0.01,0.01	0.72
gene:ENSG00000188677	0.09,0.02,0.03,0.03,-0.17	0.72
