GeneID N052611_Dex N080611_Dex N61311_Dex N052611_untreated N080611_untreated N61311_untreated
ENSG00000000003 202 556 219 443 597 329
ENSG00000000005 0 0 0 0 0 0
ENSG00000000419 172 373 276 273 285 218
ENSG00000000457 122 206 138 194 183 157
ENSG00000000460 26 76 51 51 81 50
ENSG00000000938 0 0 0 1 0 0
ENSG00000000971 1792 4714 1510 2734 2990 1403
ENSG00000001036 684 1051 799 1336 1060 1114
ENSG00000001084 253 360 198 308 406 268
ENSG00000001167 93 275 131 241 345 230
ENSG00000001460 55 101 74 122 115 87
ENSG00000001461 1274 1355 933 2467 1351 997
ENSG00000001497 151 386 247 288 348 239
ENSG00000001561 82 18 25 104 14 33
ENSG00000001617 198 322 182 419 345 261
ENSG00000001626 0 0 0 4 3 3
ENSG00000001629 534 1231 607 1085 1202 813
ENSG00000001630 16 56 40 48 63 39
ENSG00000001631 227 524 369 422 518 357
ENSG00000002016 46 101 77 102 113 88
ENSG00000002079 1 0 0 0 0 0
ENSG00000002330 190 450 308 371 361 381
ENSG00000002549 467 853 631 614 709 697
ENSG00000002586 3188 6678 3588 4844 5514 3792
ENSG00000002587 0 0 0 0 0 1
ENSG00000002726 0 0 0 0 0 0
ENSG00000002745 8 0 4 7 1 2
ENSG00000002746 25 55 67 52 34 83
ENSG00000002822 86 228 134 207 202 195
ENSG00000002834 3345 6761 3460 4373 3771 3523
ENSG00000002919 99 183 112 143 109 108
ENSG00000002933 200 18 747 304 13 606
ENSG00000003056 406 898 530 724 724 674
ENSG00000003096 93 142 173 281 255 285
ENSG00000003137 35 20 27 110 15 46
ENSG00000003147 1 1 0 0 0 0
ENSG00000003249 39 50 27 110 52 40
ENSG00000003393 266 706 337 400 548 376
ENSG00000003400 34 23 24 54 29 44
ENSG00000003402 1314 2735 1368 954 1332 726
ENSG00000003436 1647 2546 2130 2975 3813 2200
ENSG00000003509 102 224 159 180 208 176
ENSG00000003756 810 1586 1044 1601 1618 1414
ENSG00000003987 18 23 17 16 15 10
ENSG00000003989 1 43 30 1 26 24
ENSG00000004059 505 1221 853 676 786 661
ENSG00000004139 119 247 185 237 233 186
ENSG00000004142 466 1126 758 724 827 751
ENSG00000004399 752 2807 1999 1722 2529 1928
ENSG00000004455 326 962 482 668 626 503
ENSG00000004468 0 0 1 0 1 1
